lakecode,ManuscriptName,lake,latitude,longitude,continent,country,elevation,surface_area,mean_depth,max_depth,shoreline,contributor,alternate_lakenames,surface_area_source,mean_depth_source,max_depth_source,shoreline_source,elevation_google
xHJHF01,Lake Murten,murtensee,46.9276,7.074,Europe,Switzerland,NA,23,24,46,NA,Harrie-Jan Hendricks Franssen,Murtensee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,440
xHJHF02,Lake Baldeggersee,baldeggersee,47.2003,8.26,Europe,Switzerland,NA,5.3,33.1,66,NA,Harrie-Jan Hendricks Franssen,Baldeggersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,487.8
xHJHF03,Lake Sarnen,sarnersee,46.8698,8.2206,Europe,Switzerland,NA,7.1,33.5,52,NA,Harrie-Jan Hendricks Franssen,Sarnersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,789.9
xHJHF04,Lake Hallwil,hallwilersee,47.2772,8.2173,Europe,Switzerland,NA,10.3,28,47,NA,Harrie-Jan Hendricks Franssen,Hallwilersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,473.7
xHJHF05,Lake Greifensee,greifensee,47.3478,8.6793,Europe,Switzerland,NA,8.5,17.8,32,NA,Harrie-Jan Hendricks Franssen,Greifensee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,491.9
xHJHF06,Lake Constance,untersee,47.6957,9.0232,Europe,Germany,NA,29.3,19.1,46,NA,Harrie-Jan Hendricks Franssen,Untersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,398.5
xHJHF07,Lake Aegeri,aegerisee,47.12,8.62,Europe,Switzerland,NA,7,48.5,83,NA,Harrie-Jan Hendricks Franssen,Aegerisee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,988.9
xHJHF08,Lake Sempach,sempachersee,47.1441,8.1549,Europe,Switzerland,NA,15,43.6,87,NA,Harrie-Jan Hendricks Franssen,Sempachersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,566.8
xHJHF09,Lake Biel,bielersee,47.0811,7.1696,Europe,Switzerland,NA,39.8,31,74,NA,Harrie-Jan Hendricks Franssen,Bielersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,524
xHJHF10,Lake Pfäffikon,pfaffikersee,47.3508,8.7824,Europe,Switzerland,NA,3.2,18.6,35,NA,Harrie-Jan Hendricks Franssen,PfÃ_ffikersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,558.7
xHM01,Lake ﬁingvallavatn,thingvallavatn,64.1833326,-21.1499994,Europe,Iceland,NA,84,34,114,NA,Leif Asbj¯rn V¯llestad et al. 2021 - Dryad,,_ingvallavatn Lake,_ingvallavatn Lake,_ingvallavatn Lake,,100
xIMGW01,Serwy Lake,serwy,53.901,23.206,Europe,Poland,NA,NA,NA,NA,NA,WÅ‚odzimierz Marszelewski,Lake Serwy,,,,,129.9
